Wavelength	Counts
340.23	202.75
340.61	-177.25
340.99	-271.50
341.38	49.50
341.76	-110.50
342.14	-149.88
342.53	-285.50
342.91	209.50
343.30	-86.13
343.68	165.50
344.06	109.50
344.45	255.88
344.83	237.50
345.21	-176.13
345.60	-145.88
345.98	192.25
346.36	-119.75
346.75	-192.00
347.13	274.63
347.51	122.25
347.90	249.88
348.28	34.50
348.66	292.25
349.04	-34.13
349.43	-125.13
349.81	124.88
350.19	326.88
350.58	58.13
350.96	302.75
351.34	368.13
351.72	251.75
352.11	253.13
352.49	-73.63
352.87	7.13
353.26	205.75
353.64	174.25
354.02	41.00
354.40	17.00
354.79	207.75
355.17	95.88
355.55	375.38
355.93	417.00
356.31	259.63
356.70	35.25
357.08	236.50
357.46	87.75
357.84	371.50
358.23	-60.13
358.61	-71.00
358.99	154.00
359.37	-105.38
359.75	402.25
360.14	22.25
360.52	95.88
360.90	321.50
361.28	11.88
361.66	280.13
362.05	45.63
362.43	345.75
362.81	165.88
363.19	24.63
363.57	143.50
363.95	273.25
364.34	409.75
364.72	-85.63
365.10	316.38
365.48	249.63
365.86	416.63
366.24	0.88
366.62	463.38
367.01	98.00
367.39	69.63
367.77	160.50
368.15	292.63
368.53	423.63
368.91	69.00
369.29	425.75
369.67	461.13
370.05	474.38
370.44	194.25
370.82	335.38
371.20	-21.88
371.58	208.00
371.96	258.88
372.34	303.75
372.72	436.00
373.10	420.75
373.48	120.50
373.86	103.88
374.24	319.25
374.62	369.25
375.01	119.63
375.39	72.38
375.77	7.88
376.15	-2.00
376.53	32.50
376.91	170.25
377.29	-38.50
377.67	331.75
378.05	419.13
378.43	388.38
378.81	307.63
379.19	140.38
379.57	75.88
379.95	447.38
380.33	178.63
380.71	118.38
381.09	490.63
381.47	-15.25
381.85	1.00
382.23	223.38
382.61	434.00
382.99	491.13
383.37	142.13
383.75	495.75
384.13	45.38
384.51	474.25
384.89	14.25
385.27	255.00
385.65	257.38
386.03	373.50
386.41	197.25
386.79	278.88
387.17	112.25
387.54	14.38
387.92	218.38
388.30	350.38
388.68	139.50
389.06	416.25
389.44	127.75
389.82	60.50
390.20	134.63
390.58	578.13
390.96	946.88
391.34	1274.75
391.72	1946.25
392.09	2331.00
392.47	2500.50
392.85	3373.25
393.23	4131.75
393.61	4409.00
393.99	5494.13
394.37	6013.38
394.75	7044.75
395.12	7830.13
395.50	8288.88
395.88	9130.00
396.26	9845.25
396.64	10405.63
397.02	11422.38
397.40	12071.63
397.77	12552.50
398.15	13075.88
398.53	13674.75
398.91	14161.13
399.29	14367.13
399.67	14618.50
400.04	15011.25
400.42	15232.88
400.80	14644.13
401.18	14766.13
401.56	14783.00
401.93	14899.25
402.31	14117.88
402.69	14037.13
403.07	14003.63
403.45	13686.63
403.82	13230.13
404.20	13134.38
404.58	12732.50
404.96	12726.38
405.33	12532.00
405.71	11846.00
406.09	11953.00
406.47	11429.75
406.85	11540.75
407.22	10798.25
407.60	10507.00
407.98	10263.50
408.35	9972.25
408.73	9909.25
409.11	9306.38
409.49	9171.13
409.86	8833.25
410.24	8374.00
410.62	8361.88
411.00	7938.25
411.37	7435.13
411.75	6925.50
412.13	6835.13
412.50	6505.13
412.88	6246.00
413.26	5808.00
413.63	5364.25
414.01	5110.50
414.39	4524.00
414.76	4129.13
415.14	3703.25
415.52	3505.88
415.89	3503.38
416.27	3334.88
416.65	3028.00
417.02	2820.00
417.40	2359.13
417.78	2196.25
418.15	2172.88
418.53	1737.13
418.91	1632.13
419.28	1420.75
419.66	1039.50
420.04	816.00
420.41	1044.13
420.79	725.63
421.16	710.25
421.54	421.63
421.92	676.75
422.29	724.00
422.67	546.63
423.04	259.63
423.42	495.38
423.80	640.00
424.17	505.63
424.55	79.75
424.92	264.38
425.30	315.75
425.67	264.25
426.05	228.00
426.43	153.38
426.80	512.38
427.18	4.38
427.55	155.88
427.93	384.00
428.30	204.13
428.68	8.13
429.05	-3.25
429.43	-2.63
429.80	411.50
430.18	353.13
430.55	111.38
430.93	230.63
431.30	295.63
431.68	351.00
432.05	143.38
432.43	258.13
432.80	581.38
433.18	145.13
433.55	396.88
433.93	351.88
434.30	208.13
434.68	533.75
435.05	135.38
435.43	549.50
435.80	144.75
436.18	240.88
436.55	513.13
436.93	562.75
437.30	210.38
437.68	347.88
438.05	629.00
438.42	449.75
438.80	159.13
439.17	89.75
439.55	150.38
439.92	308.38
440.30	415.00
440.67	232.38
441.04	269.63
441.42	235.63
441.79	593.63
442.17	293.88
442.54	304.38
442.91	905.88
443.29	883.75
443.66	798.63
444.04	880.38
444.41	795.13
444.78	1120.38
445.16	919.38
445.53	922.88
445.90	1296.13
446.28	1365.75
446.65	1472.00
447.02	1737.13
447.40	2054.63
447.77	1615.63
448.14	1871.50
448.52	1975.13
448.89	2058.25
449.26	2676.00
449.64	2595.63
450.01	2745.75
450.38	2844.75
450.76	3149.00
451.13	3597.00
451.50	3469.00
451.88	3608.25
452.25	3647.13
452.62	4236.50
453.00	4296.63
453.37	4210.00
453.74	4413.13
454.11	5000.25
454.49	4909.00
454.86	5050.38
455.23	5455.13
455.60	5847.63
455.98	5945.38
456.35	5899.75
456.72	6448.63
457.09	6198.13
457.47	6501.25
457.84	6809.75
458.21	7199.13
458.58	7319.63
458.96	7507.63
459.33	7733.88
459.70	7695.50
460.07	7872.50
460.45	8345.25
460.82	8639.50
461.19	8456.75
461.56	8848.38
461.93	8949.63
462.31	9301.63
462.68	9498.75
463.05	9947.75
463.42	10080.38
463.79	10407.75
464.16	10264.00
464.54	10808.13
464.91	11156.38
465.28	11393.00
465.65	11493.25
466.02	11863.50
466.39	11865.50
466.77	12264.75
467.14	12058.13
467.51	12738.00
467.88	12876.50
468.25	13125.13
468.62	13087.50
468.99	13365.50
469.36	13710.50
469.74	13950.75
470.11	13955.38
470.48	14049.50
470.85	14291.38
471.22	14511.25
471.59	15039.88
471.96	14882.25
472.33	15110.75
472.70	15512.50
473.07	15886.88
473.44	15587.38
473.82	15731.13
474.19	15886.50
474.56	16449.38
474.93	16308.50
475.30	16687.88
475.67	16677.75
476.04	16888.38
476.41	17013.88
476.78	16902.88
477.15	16940.75
477.52	17428.50
477.89	17257.75
478.26	17404.38
478.63	17482.88
479.00	17789.38
479.37	17736.75
479.74	18267.88
480.11	18042.63
480.48	17934.13
480.85	18243.75
481.22	18484.50
